"02","08","Albacete"
"03","10","Alicante/Alacant"
"04","01","Almería"
"01","16","Araba/Álava"
"33","03","Asturias"
"05","07","Ávila"
"06","11","Badajoz"
"07","04","Balears, Illes"
"08","09","Barcelona"
"48","16","Bizkaia"
"09","07","Burgos"
"10","11","Cáceres"
"11","01","Cádiz"
"39","06","Cantabria"
"12","10","Castellón/Castelló"
"13","08","Ciudad Real"
"14","01","Córdoba"
"15","12","Coruña, A"
"16","08","Cuenca"
"20","16","Gipuzkoa"
"17","09","Girona"
"18","01","Granada"
"19","08","Guadalajara"
"21","01","Huelva"
"22","02","Huesca"
"23","01","Jaén"
"24","07","León"
"25","09","Lleida"
"27","12","Lugo"
"28","13","Madrid"
"29","01","Málaga"
"30","14","Murcia"
"31","15","Navarra"
"32","12","Ourense"
"34","07","Palencia"
"35","05","Palmas, Las"
"36","12","Pontevedra"
"26","17","Rioja, La"
"37","07","Salamanca"
"38","05","Santa Cruz de Tenerife"
"40","07","Segovia"
"41","01","Sevilla"
"42","07","Soria"
"43","09","Tarragona"
"44","02","Teruel"
"45","08","Toledo"
"46","10","Valencia/València"
"47","07","Valladolid"
"49","07","Zamora"
"50","02","Zaragoza"
"51","18","Ceuta"
"52","19","Melilla"
